file_id,type,number_affix,date,area,param,step,request_time
cf_2018-03-01_tem.grib,cf,#,2018-03-01/to/2018-03-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-03-01_nontem.grib,pf,,2018-03-01/to/2018-03-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-03-01_tem.grib,cf,#,2018-03-01/to/2018-03-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-03-01_nontem.grib,pf,,2018-03-01/to/2018-03-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-04-01_tem.grib,cf,#,2018-04-01/to/2018-04-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-04-01_nontem.grib,pf,,2018-04-01/to/2018-04-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-04-01_tem.grib,cf,#,2018-04-01/to/2018-04-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-04-01_nontem.grib,pf,,2018-04-01/to/2018-04-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-05-01_tem.grib,cf,#,2018-05-01/to/2018-05-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-05-01_nontem.grib,pf,,2018-05-01/to/2018-05-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-05-01_tem.grib,cf,#,2018-05-01/to/2018-05-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-05-01_nontem.grib,pf,,2018-05-01/to/2018-05-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-06-01_tem.grib,cf,#,2018-06-01/to/2018-06-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-06-01_nontem.grib,pf,,2018-06-01/to/2018-06-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-06-01_tem.grib,cf,#,2018-06-01/to/2018-06-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-06-01_nontem.grib,pf,,2018-06-01/to/2018-06-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-07-01_tem.grib,cf,#,2018-07-01/to/2018-07-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-07-01_nontem.grib,pf,,2018-07-01/to/2018-07-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-07-01_tem.grib,cf,#,2018-07-01/to/2018-07-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-07-01_nontem.grib,pf,,2018-07-01/to/2018-07-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-08-01_tem.grib,cf,#,2018-08-01/to/2018-08-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-08-01_nontem.grib,pf,,2018-08-01/to/2018-08-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-08-01_tem.grib,cf,#,2018-08-01/to/2018-08-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-08-01_nontem.grib,pf,,2018-08-01/to/2018-08-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-09-01_tem.grib,cf,#,2018-09-01/to/2018-09-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-09-01_nontem.grib,pf,,2018-09-01/to/2018-09-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-09-01_tem.grib,cf,#,2018-09-01/to/2018-09-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-09-01_nontem.grib,pf,,2018-09-01/to/2018-09-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-10-01_tem.grib,cf,#,2018-10-01/to/2018-10-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-10-01_nontem.grib,pf,,2018-10-01/to/2018-10-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-10-01_tem.grib,cf,#,2018-10-01/to/2018-10-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-10-01_nontem.grib,pf,,2018-10-01/to/2018-10-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-11-01_tem.grib,cf,#,2018-11-01/to/2018-11-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-11-01_nontem.grib,pf,,2018-11-01/to/2018-11-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
